Ext.ID	Museum	Sampling.date	Catalogue.accession	Species	Collection.notes	Sex	Age	Year	Country	Region	Locality	Oral.health	Appearance	Sampling.comments	Ext.Date	Sample.weight.g.	Pigmented_extract	Qubit.concentration.ng.ul.	LP.date	Extract.vol.used	LP.copies	Ind.date	LP.vol.used	Ind.cycles	Ind.copies	Pool	Pooled.volume.ul.	Instrument.model	Common.name	habitat.general	order	Species_Lintulaakso_et_al	diet_cluster_name	diet_quality	cp	ee	cf	ash	nfe	calculated_species_main_diet	raw_count	unmapped_count	mapped_count	host_count	human_count	unmapped_avlength	mapped_avlength	p_Sediment.Soil	p_Skin	p_aOral	p_mOral	p_Unknown	classified	unclassified	Bacteria	Archaea	Eukaryota	Viruses	species_raw	is.blank	failed.repeated	combined.sample	Sample.weight.ug	DNA_input_ng	libraries_input_copies	theor_ind_copies
DM_012	Adametz collection	20230217	15 E761 73	Sus scrofa	C 	female		<1940							20230627	0.009	FALSE	2.08	20230629	20	1.91e+08	20230906	12	11	6.32e+10	Pool A	3	Illumina NovaSeq X Plus	Wild boar	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	11405926	9986866	261357	258580	2777	61.44	66.41	4.6	2.4	16.6	15.6	60.7	11.5	88.5	11.2	0.3	0.03	0	9017	FALSE	FALSE	FALSE	9	41.6	2.292e+09	4.694016e+12
DM_013	Adametz collection	20230217	E 374	Sus scrofa domesticus	Polnisches Landschwein 			<1940	Poland?						20230627	0.016	FALSE	14.2	20230629	20	1.12e+08	20230906	12	11	2.35e+10	Pool B	3	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	6410092	4844442	1086431	1078103	8328	63.2	54.51	3.9	2.1	25.2	17.4	51.4	12.3	87.7	10.4	1.3	0.59	0	8138	FALSE	FALSE	FALSE	16	284	1.344e+09	2.752512e+12
DM_014	Adametz collection	20230217	E 522	Sus scrofa domesticus	Siska-Schwein; kroatische Landrasse (augestorben) Adametz-Smgl., Inv.Nr. E 522, weibl. juv. 	female		<1940							20230816	0.007	FALSE	5.94	20230824	20	1.04e+08	20230920_7-7	12	11	3.84e+10	Pool B	2	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	10095248	4888531	3458382	3438717	19665	58.59	57.98	3.5	3.4	37.6	26.3	29.3	11.7	88.3	9.9	0.2	1.64	0	7538	FALSE	FALSE	FALSE	7	118.8	1.248e+09	2.555904e+12
DM_015	Adametz collection	20230217	E 855	Sus scrofa domesticus	Sumadija-Schwein; serbische Landrasse (ausgestorben); Adametz-Smlg., Inv. Nr. E 855, maennl. Ad. 	male?	adult?	<1940	Serbia?				white-beige		20230816	0.022	FALSE	26.3	20230824	20	1.72e+08	20230920_7-7	12	11	2.71e+10	Pool B	3	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	4745999	4428043	18863	18356	507	60.81	52.11	5.5	2.3	26	20.4	45.8	10.6	89.4	10	0.5	0.01	0	8179	FALSE	FALSE	FALSE	22	526	2.064e+09	4.227072e+12
DM_016	Adametz collection	20230217	A 491	Sus scrofa domesticus	Haengebauchschwein 	male		<1940					white-beige		20230809	0.017	FALSE	7.27	20230815	20	5.98e+08	20230907	12	11	7.44e+10	Pool A	3	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	14775967	12964438	101490	70091	31399	55.51	63.79	2.2	0.5	53.8	15.4	28.2	6.5	93.5	5.7	0.8	0.02	0	8394	FALSE	FALSE	FALSE	17	145.4	7.176e+09	1.4696448e+13
DM_017	Adametz collection	20230217	E 507	Sus scrofa domesticus	Syrm; Mangaliza; blond 	female		<1940					white-beige		20230809	0.013	FALSE	7.33	20230815	20	3.46e+08	20230907	12	11	1.73e+08	Pool D	5	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	63267393	54274118	3186179	3152792	33387	61.72	62.32	4.2	1.4	23.3	12.1	59	10.4	89.6	9.3	0.9	0.17	0	9939	FALSE	FALSE	FALSE	13	146.6	4.152e+09	8.503296e+12
DM_018	Adametz collection	20230217	E 514	Sus scrofa domesticus	Syrm; Mangaliza; blond 	female		<1940					white-beige		20230809	0.034	FALSE	24.7	20230815	20	24400	20230920_remainder	12	14	5930000		NA		Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	34	494	292800	4797235200
DM_019	Adametz collection	20230221	E 753	Sus scrofa domesticus	Galz. Landschw. 			<1940					white on some teeth darker on others		20230828	0.012	FALSE	6.36	20230830	20	1.45e+08	20230920_7-7	12	11	3.54e+10	Pool B	2	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	7803274	7142275	11485	11128	357	56.66	54.05	6	2.6	19.3	16.2	55.9	10.2	89.8	8.4	1.8	0.01	0	8484	FALSE	FALSE	FALSE	12	127.2	1.74e+09	3.56352e+12
DM_020	Adametz collection	20230221	E 517	Sus scrofa domesticus	Bagun 			<1940					white on some teeth darker on others		20230809	0.011	FALSE	15.6	20230815	20	1.5e+08	20230907	12	11	3.17e+10	Pool B	3	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	14916098	11944554	556683	552316	4367	56.37	56.92	8.4	2.6	21.2	17.4	50.4	9.6	90.4	9	0.5	0.11	0	8917	FALSE	FALSE	FALSE	11	312	1.8e+09	3.6864e+12
DM_021	Adametz collection	20230221	E 758	Sus scrofa domesticus	 			<1940					orange-brown		20230828	0.012	FALSE	0.58	20230830	20	68200000	20230920_7-7	12	11	1.69e+10	Pool B	3	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	5769764	4897096	56718	55569	1149	52.75	52.8	4.1	5.4	34.7	31.8	23.9	17.6	82.4	17.5	0.1	0.01	0	7980	FALSE	FALSE	FALSE	12	11.6	818400000	1676083200000
DM_022	Adametz collection	20230221	E 216	Sus scrofa domesticus	Yorkshire 	female		<1940	UK?	Yorkshire?			white on some teeth darker on others		20230809	0.016	FALSE	19.3	20230815	20	3.41e+08	20230907	12	11	3.87e+10	Pool B	2	Illumina NovaSeq X Plus	Pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	11084614	9587449	9494	9034	460	55.56	49.11	8.1	2.1	29.3	16.1	44.4	7.6	92.4	6.5	1	0	0	8709	FALSE	FALSE	FALSE	16	386	4.092e+09	8.380416e+12
DM_026	Adametz collection	20230221	E 70	Equus caballus	Staten Fohlen; Pinzgauer R. 			<1940							20230808	0.026	FALSE	20.9	20230811	20	1.56e+09	20230904	12	11	1.02e+11	Pool A	2	Illumina NovaSeq X Plus	Horse	Terrestrial	Perissodactyla	Equus caballus	Grazer	4.1	10.65744	2.38335	29.64453	8.93891	48.37576	Herbivore	5440794	5083149	1517	1227	290	71.46	52.45	6.4	7.6	2.5	55.1	28.4	60.8	39.2	60.6	0.1	0	0	6975	FALSE	FALSE	FALSE	26	418	1.872e+10	3.833856e+13
DM_027	Adametz collection	20230221	E 946	Equus caballus	Pinzgauer 			<1940						maybe insufficient?	20230808	0.016	FALSE	28.3	20230811	20	1.07e+09	20230904	12	11	3.78e+10	Pool B	2	Illumina NovaSeq X Plus	Horse	Terrestrial	Perissodactyla	Equus caballus	Grazer	4.1	10.65744	2.38335	29.64453	8.93891	48.37576	Herbivore	5011442	4515942	7082	6682	400	58.69	47.18	7.7	3.1	8.3	19.1	61.9	21.3	78.7	21.2	0	0.01	0	6858	FALSE	FALSE	FALSE	16	566	1.284e+10	2.629632e+13
DM_028	Adametz collection	20230221	E 947	Equus caballus	Pinzgauer; O.3; No. 5 			<1940							20230808	0.015	FALSE	3.81	20230811	20	2.48e+09	20230904	12	11	8.98e+10	Pool A	3	Illumina NovaSeq X Plus	Horse	Terrestrial	Perissodactyla	Equus caballus	Grazer	4.1	10.65744	2.38335	29.64453	8.93891	48.37576	Herbivore	8418268	6604760	6934	6096	838	52.28	47.32	8.6	3.4	10.5	20.3	57.2	20.9	79.2	20.8	0	0	0	7295	FALSE	FALSE	FALSE	15	76.2	2.976e+10	6.094848e+13
DM_029	Adametz collection	20230221	Ε 91	Equus caballus	Anglonormanner; Conezie (?) 	female		<1940							20230808	0.015	FALSE	1.36	20230811	20	2.97e+08	20230904	12	11	1.33e+11	Pool A	2	Illumina NovaSeq X Plus	Horse	Terrestrial	Perissodactyla	Equus caballus	Grazer	4.1	10.65744	2.38335	29.64453	8.93891	48.37576	Herbivore	8359319	6038079	271121	267744	3377	49.62	49.99	13.5	5.1	16.9	18.5	46	20.1	79.9	20.1	0	0.02	0	6169	FALSE	FALSE	FALSE	15	27.2	3.564e+09	7.299072e+12
EB_10_1		NA		Extraction blank											20230703	NA	FALSE	0.095	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_10_2		NA		Extraction blank											20230703	NA	FALSE	0.152	20230706	20	25200	20230818	18	11	8.4e+09	Pool B	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2524	894	23	NA	23	46.56	72.17	NA	NA	NA	NA	NA	10.3	89.7	6.6	0.8	0.22	0	20	TRUE	FALSE	FALSE	NA	3.04	453600	928972800
EB_11_1		NA		Extraction blank											20230707	NA	FALSE	0.065	20230712	20	15900	20230818	18	11	5.41e+08	Pool B	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5795	494	5	NA	5	43.4	90.6	NA	NA	NA	NA	NA	3.6	96.4	2.8	0	0	0	4	TRUE	FALSE	FALSE	NA	1.3	286200	586137600
EB_11_2		NA		Extraction blank											20230707	NA	FALSE	0.049	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_12_1		NA		Extraction blank											20230710	NA	FALSE	0.105	20230712	20	13100	20230818	18	11	4.02e+08	Pool B	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3680	487	0	NA	0	41.13	NA	NA	NA	NA	NA	NA	3.5	96.5	3.1	0	0	0	3	TRUE	FALSE	FALSE	NA	2.1	235800	482918400
EB_12_2		NA		Extraction blank											20230710	NA	FALSE	0.049	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_13_1		NA		Extraction blank											20230713	NA	FALSE	0.049	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_13_2		NA		Extraction blank											20230713	NA	FALSE	0.049	20230719	20	66000	20230920_remainder	12	11	6.06e+08	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5170	141	0	NA	0	46.68	NA	NA	NA	NA	NA	NA	16.3	83.7	11.4	0	0	0	2	TRUE	FALSE	FALSE	NA	0.98	792000	1622016000
EB_14_1		NA		Extraction blank											20230717	NA	FALSE	0.049	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_14_2		NA		Extraction blank											20230717	NA	FALSE	0.049	20230809	20	17100	20230907	12	11	3.27e+08	Pool B	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42974	38	1	NA	1	57.47	46	NA	NA	NA	NA	NA	60.5	39.5	10.5	0	0	0	2	TRUE	FALSE	FALSE	NA	0.98	205200	420249600
EB_15_1		NA		Extraction blank											20230719	NA	FALSE	0.049	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_15_2		NA		Extraction blank											20230719	NA	FALSE	0.049	20230721	20	11300	20230920_3-3	10	11	1.94e+10	Pool A	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	888	95	1	NA	1	42.93	52	NA	NA	NA	NA	NA	11.6	88.4	10.5	0	0	0	1	TRUE	FALSE	FALSE	NA	0.98	113000	231424000
EB_16		NA		Extraction blank											20230723	NA	FALSE	0.049	20230727	20	14500	20230905	12	11	1.05e+08	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9547	1303	129	NA	129	43.69	76.67	NA	NA	NA	NA	NA	4.2	95.8	3.5	0	0.23	0	10	TRUE	FALSE	FALSE	NA	0.98	174000	356352000
EB_17_1		NA		Extraction blank											20230724	NA	FALSE	0.18	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_17_2		NA		Extraction blank											20230724	NA	FALSE	0.179	20230726	20	2100	20230905	12	11	1.13e+08	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	3.58	25200	51609600
EB_18_1		NA		Extraction blank											20230726	NA	FALSE	0.123	NA	20	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	2.46	NA	NA
EB_18_2		NA		Extraction blank											20230726	NA	FALSE	0.054	20230801	20	2890	20230905	12	11	1.09e+08	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1866	258	8	NA	8	55.38	70.5	NA	NA	NA	NA	NA	15.5	84.5	14.3	0	0.39	0	18	TRUE	FALSE	FALSE	NA	1.08	34680	71024640
EB_19_1		NA		Extraction blank											20230801	NA	FALSE	0.049	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_19_2		NA		Extraction blank											20230801	NA	FALSE	0.049	20230810	20	103000	20230908	12	11	1.78e+10	Pool A	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1239	198	3	NA	3	44.73	152	NA	NA	NA	NA	NA	4.6	95.5	4	0	0	0	1	TRUE	FALSE	FALSE	NA	0.98	1236000	2531328000
EB_1_1		NA		Extraction blank	 										20230605	NA	FALSE	0.118	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_1_2		NA		Extraction blank	 										20230605	NA	FALSE	0.051	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_20		NA		Extraction blank											20230803	NA	FALSE	0.049	20230816	20	19300	20230908	12	11	1e+09	Pool C	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	287	8	0	NA	0	46	NA	NA	NA	NA	NA	NA	0	100	0	0	0	0	NA	TRUE	FALSE	FALSE	NA	0.98	231600	474316800
EB_21		NA		Extraction blank											20230808	NA	FALSE	0.049	20230811	20	13100	20230905	12	11	2.69e+09	Pool A	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1646	12	3	NA	3	73.67	56.33	NA	NA	NA	NA	NA	16.7	83.3	16.7	0	0	0	2	TRUE	FALSE	FALSE	NA	0.98	157200	321945600
EB_22		NA		Extraction blank											20230809	NA	FALSE	0.049	20230815	NA	87800	20230907	12	11	1.33e+08	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	1053600	2157772800
EB_23		NA		Extraction blank											20230814	NA	FALSE	0.28	20230821	20	543000	20230908	12	11	1.61e+09	Pool C	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	184522	140	6	NA	6	52.2	65.33	NA	NA	NA	NA	NA	15.7	84.3	14.3	0	0	0	10	TRUE	FALSE	FALSE	NA	5.6	6516000	13344768000
EB_24_1		NA		Extraction blank											20230816	NA	FALSE	0.143	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_24_2		NA		Extraction blank											20230816	NA	FALSE	0.076	20230824	20	51000	20230920_7-7	12	11	1.67e+08	Pool D	1	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4780	1357	0	NA	0	42.06	NA	NA	NA	NA	NA	NA	85.4	14.6	0.2	0	0	0	2	TRUE	FALSE	FALSE	NA	1.52	612000	1253376000
EB_25_1		NA		Extraction blank											20230828	NA	FALSE	0.049	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
EB_25_2		NA		Extraction blank											20230828	NA	FALSE	0.049	20230830	20	146000	20230920_remainder	12	11	2.55e+08	Pool D	5	Illumina NovaSeq X Plus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5258	314	0	NA	0	42.17	NA	NA	NA	NA	NA	NA	32.2	67.8	1.3	0	0	0	2	TRUE	FALSE	FALSE	NA	0.98	1752000	3588096000
EB_26_1		NA		Extraction blank											20230830	NA	FALSE	0.049	NA	NA	NA		NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	NA	NA	NA	NA
